congress,rollnumber,bill_no,type,reverse_vote,bill_name,link_1,link_2
79,94,HR 4649,gov,,ENABLE THE US TO FURTHER PARTICIPATE IN THE WORK OF THE UN RELIEF AND REHABILITATION ADMINISTRATION. ON PASSAGE.,https://voteview.com/rollcall/RH0790094,
79,96,HRES407,gov,Y,RESOLUTION PROVIDING FOR THE CONSIDERATION OF HR 3937 TO REPEAL THE WAR LABOR DISPUTES ACT AND ABOLISH THE NATIONAL WAR LABOR BOARD.,https://voteview.com/rollcall/RH0790096,
79,195,HR6837,mil,,Mil Apps,https://voteview.com/rollcall/RH0790195,
79,162,HJRE305,gov,,"JOINT RESOLUTION PROVIDING FOR MEMBERSHIP AND PARTICIPATION BY THE US IN UNESCO, AND AUTHORIZING AN APPROPRIATION.",https://voteview.com/rollcall/RH0790162,
79,176,HR5356,gov,, PROVIDE ASSISTANCE TO THE REPUBLIC OF CHINA IN AUGMENTING AND MAINTAINING A NAVAL ESTABLISHMENT. ON RANKIN MOTION THAT FURTHER PROCEEDING BE DISPENSED WITH.,https://voteview.com/rollcall/RH0790176,
79,155,HR5604,mil,Y,"REDUCE CERTAIN APPROPRIATIONS AND CONTRACTUAL AUTHORIZATIONS AVAILABLE FOR THE FISCAL YEAR ENDING JUNE 30, 1946.",https://voteview.com/rollcall/RH0790155,
79,5,HR1752,mil,,A Bill To Amend The Selective Training And Service Act Of 1940,"https://voteview.com/rollcall/RH0790005
",
79,17,HR2013,econ,,Extend Lend Lease-one Year,https://voteview.com/rollcall/RH0790017,
79,31,HJRES145,gov,,H J Res 145. Joint Resolution Providing For Us Membership In The Fao Of The U.N.,https://voteview.com/rollcall/RH0790031,
79,47,HR3314,gov,,"Join Imf, World Bank","https://voteview.com/rollcall/RH0790047
",
79,100,S1580,gov,,Provide For The Appointment Of Representatives Of The Us In The Organizations And Agencies Of The Un.,"https://voteview.com/rollcall/RH0790100
",
79,194,HRE685,gov,,"Resolution Providing For The Consideration Of S J Res. 138, To Implement Further The Purposes Of The Bretton Woods Agreements Act By Authorizing The Sec. Of The Treasury To Carry Out An Agreement W/the United Kingdom.",https://voteview.com/rollcall/RH0790194,
80,34,HFRE153,econ,,War Relief Asst,https://voteview.com/rollcall/RH0800034,
80,137,HRE633,econ,,For Aid app,https://voteview.com/rollcall/RH0800137,
80,112,HR6226,mil,,Supplemental Def Apps.,https://voteview.com/rollcall/RH0800112,
80,37,HR2616,econ,,Assistance To Greece And Turkey Act ,https://voteview.com/rollcall/RH0800037,
80,51,HR3342,gov,,"Enable The Gov't More Effectively To Carry On Its Foreign Relations By Means Of Promotion Of The Interchange Of Persons Knowl Edge, And Skills Between The People Of The U.S. And Other Countries, And By Means Of Public Dissemination Abroad Of Information About The U.S., Its People, And Its Policies. Passage.",https://voteview.com/rollcall/RH0800051,
80,82,S 1774,econ,,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. By Providing Supplies To Certain European Countries On An Emergency Basis. Adoption Of Conference Report.",https://voteview.com/rollcall/RH0800082,
80,109,S2202,econ,,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. Through Necessary Economic And Financial Assistance To Foreign Countries Which Undertake To Cooperate With Each Other In The Establishment And Maintenance Of Economic Conditions Essential To A Peaceful And Prosperous World. Adoption Of Conference Report.",https://voteview.com/rollcall/RH0800109,
80,147,HRES671,mil,,"Resolution Providing For The Consideration Of Hr 6401, A Bill To Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S.",https://voteview.com/rollcall/RH0800147,
80,154,HR6771,mil,,Military Appropriations ,https://voteview.com/rollcall/RH0800154,
80,158,S 2655,mil,,"Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S., Including The Reserve Components. Adoption Of Conference Report",https://voteview.com/rollcall/RH0800158,
80,159,HR 6801,econ,,Approprations For Foreign Aid,https://voteview.com/rollcall/RH0800159,
81,208,HR8083,gov,,Export-import bank us investments abroad,https://voteview.com/rollcall/RH0810208,
81,43,HR3748,gov,,AMEND THE ECONOMIC COOPERATION ACT OF 1948.,https://voteview.com/rollcall/RH0810043,
81,105,HR4830,econ,,"APPROPRIATIONS FOR FOREIGN AID FOR THE FISCAL YEAR ENDING JUNE 30 1950. C ONFERENCE REPORT; ON MOTION TO RECEDE AND CONCUR IN SENATE AMEND. NO. 7 ($150,000,000-LOANS).",https://voteview.com/rollcall/RH0810105,
81,201,HR6826,mil,,EXTEND THE SELECTIVE SERVICE ACT OF 1948 FOR A PERIOD OF 3 YEARS. ADOPTION OF CONFERENCE REPORT.,https://voteview.com/rollcall/RH0810201,
81,214,S3809,gov,,AMEND THE NUTUAL DEFENSE ASSISTANCE ACT OF 1949. ON PASSAGE.,https://voteview.com/rollcall/RH0810214,
81,248,S4029,mil,,"AMEND. THE SELECTIVE SERVICE ACT OF 1948, AS AMENDED, SO AS TO PROVIDE FOR SPECIAL REGISTRATION, CLASSIFICATION, AND INDUCTION OF CERTAIN MEDICAL DENTAL, AND ALLIED SPECIALIST CATEGORIES.",https://voteview.com/rollcall/RH0810248,
81,7,HR1211,econ,,Presidential Authorization On Tariffs,https://voteview.com/rollcall/RH0810007,
